lego_set_id,lego_set_title,rebrickable_lego_set_url,bricket_lego_set_url,brickpicker_lego_set_url
31003-1,red-rotors-airport-2013,http://rebrickable.com/sets/31003-1/red-rotors-airport-2013,http://brickset.com/sets/31003-1,http://www.brickpicker.com/bpms/set.cfm?set=31003-1
40080-1,friends-pencil-holder-gear-2013,http://rebrickable.com/sets/40080-1/friends-pencil-holder-gear-2013,http://brickset.com/sets/40080-1,http://www.brickpicker.com/bpms/set.cfm?set=40080-1
850581-1,friends-calendar-%5Benglish%5D-gear-2013,http://rebrickable.com/sets/850581-1/friends-calendar-%5Benglish%5D-gear-2013,http://brickset.com/sets/850581-1,http://www.brickpicker.com/bpms/set.cfm?set=850581-1
60019-1,stunt-plane-airport-2013,http://rebrickable.com/sets/60019-1/stunt-plane-airport-2013,http://brickset.com/sets/60019-1,http://www.brickpicker.com/bpms/set.cfm?set=60019-1
70001-1,crawley%E2%80%99s-claw-ripper-legends-of-chima-2013,http://rebrickable.com/sets/70001-1/crawley%E2%80%99s-claw-ripper-legends-of-chima-2013,http://brickset.com/sets/70001-1,http://www.brickpicker.com/bpms/set.cfm?set=70001-1
10508-1,deluxe-train-set-duplo-2013,http://rebrickable.com/sets/10508-1/deluxe-train-set-duplo-2013,http://brickset.com/sets/10508-1,http://www.brickpicker.com/bpms/set.cfm?set=10508-1
comcon033-1,micro-scale-bag-end-san-diego-comic-con-2013-exclusive-the-hobbit-2013,http://rebrickable.com/sets/comcon033-1/micro-scale-bag-end-san-diego-comic-con-2013-exclusive-the-hobbit-2013,http://brickset.com/sets/comcon033-1,http://www.brickpicker.com/bpms/set.cfm?set=comcon033-1
75000-1,clone-troopers-vs.-droidekas-star-wars-episode-2-2013,http://rebrickable.com/sets/75000-1/clone-troopers-vs.-droidekas-star-wars-episode-2-2013,http://brickset.com/sets/75000-1,http://www.brickpicker.com/bpms/set.cfm?set=75000-1
comcon032-1,jek-14-mini-stealth-starfighter-san-diego-comic-con-2013-exclusive-star-wars-2013,http://rebrickable.com/sets/comcon032-1/jek-14-mini-stealth-starfighter-san-diego-comic-con-2013-exclusive-star-wars-2013,http://brickset.com/sets/comcon032-1,http://www.brickpicker.com/bpms/set.cfm?set=comcon032-1
31002-1,super-racer-creator-2013,http://rebrickable.com/sets/31002-1/super-racer-creator-2013,http://brickset.com/sets/31002-1,http://www.brickpicker.com/bpms/set.cfm?set=31002-1
40081-1,legoland-picture-frame-florida-edition-legoland-2013,http://rebrickable.com/sets/40081-1/legoland-picture-frame-florida-edition-legoland-2013,http://brickset.com/sets/40081-1,http://www.brickpicker.com/bpms/set.cfm?set=40081-1
40081-2,legoland-picture-frame-deutschland-edition-legoland-2013,http://rebrickable.com/sets/40081-2/legoland-picture-frame-deutschland-edition-legoland-2013,http://brickset.com/sets/40081-2,http://www.brickpicker.com/bpms/set.cfm?set=40081-2
40081-3,legoland-picture-frame-billund-edition-legoland-2013,http://rebrickable.com/sets/40081-3/legoland-picture-frame-billund-edition-legoland-2013,http://brickset.com/sets/40081-3,http://www.brickpicker.com/bpms/set.cfm?set=40081-3
40081-4,legoland-picture-frame-malaysia-edition-legoland-2013,http://rebrickable.com/sets/40081-4/legoland-picture-frame-malaysia-edition-legoland-2013,http://brickset.com/sets/40081-4,http://www.brickpicker.com/bpms/set.cfm?set=40081-4
45000-1,creative-builder-educational-and-dacta-2013,http://rebrickable.com/sets/45000-1/creative-builder-educational-and-dacta-2013,http://brickset.com/sets/45000-1,http://www.brickpicker.com/bpms/set.cfm?set=45000-1
60012-1,coast-guard-4-x-4-coast-guard-2013,http://rebrickable.com/sets/60012-1/coast-guard-4-x-4-coast-guard-2013,http://brickset.com/sets/60012-1,http://www.brickpicker.com/bpms/set.cfm?set=60012-1
76002-1,superman%3A-metropolis-showdown-super-heroes-2013,http://rebrickable.com/sets/76002-1/superman%3A-metropolis-showdown-super-heroes-2013,http://brickset.com/sets/76002-1,http://www.brickpicker.com/bpms/set.cfm?set=76002-1
40083-1,christmas-tree-truck-creator-2013,http://rebrickable.com/sets/40083-1/christmas-tree-truck-creator-2013,http://brickset.com/sets/40083-1,http://www.brickpicker.com/bpms/set.cfm?set=40083-1
70114-1,sky-joust-speedorz-2013,http://rebrickable.com/sets/70114-1/sky-joust-speedorz-2013,http://brickset.com/sets/70114-1,http://www.brickpicker.com/bpms/set.cfm?set=70114-1
40082-1,christmas-tree-stand-creator-2013,http://rebrickable.com/sets/40082-1/christmas-tree-stand-creator-2013,http://brickset.com/sets/40082-1,http://www.brickpicker.com/bpms/set.cfm?set=40082-1
79005-1,the-wizard-battle-the-lord-of-the-rings-2013,http://rebrickable.com/sets/79005-1/the-wizard-battle-the-lord-of-the-rings-2013,http://brickset.com/sets/79005-1,http://www.brickpicker.com/bpms/set.cfm?set=79005-1
40058-1,decorating-the-tree-creator-2013,http://rebrickable.com/sets/40058-1/decorating-the-tree-creator-2013,http://brickset.com/sets/40058-1,http://www.brickpicker.com/bpms/set.cfm?set=40058-1
70000-1,razcals-glider-legends-of-chima-2013,http://rebrickable.com/sets/70000-1/razcals-glider-legends-of-chima-2013,http://brickset.com/sets/70000-1,http://www.brickpicker.com/bpms/set.cfm?set=70000-1
70102-1,chi-waterfall-speedorz-2013,http://rebrickable.com/sets/70102-1/chi-waterfall-speedorz-2013,http://brickset.com/sets/70102-1,http://www.brickpicker.com/bpms/set.cfm?set=70102-1
45001-1,playground-educational-and-dacta-2013,http://rebrickable.com/sets/45001-1/playground-educational-and-dacta-2013,http://brickset.com/sets/45001-1,http://www.brickpicker.com/bpms/set.cfm?set=45001-1
44000-1,furno-xl-heroes-2013,http://rebrickable.com/sets/44000-1/furno-xl-heroes-2013,http://brickset.com/sets/44000-1,http://www.brickpicker.com/bpms/set.cfm?set=44000-1
4473-1,police-helicopter-police-2013,http://rebrickable.com/sets/4473-1/police-helicopter-police-2013,http://brickset.com/sets/4473-1,http://www.brickpicker.com/bpms/set.cfm?set=4473-1
75011-1,tantive-iv-planet-alderaan-star-wars-episode-456-2013,http://rebrickable.com/sets/75011-1/tantive-iv-planet-alderaan-star-wars-episode-456-2013,http://brickset.com/sets/75011-1,http://www.brickpicker.com/bpms/set.cfm?set=75011-1
70101-1,target-practice-speedorz-2013,http://rebrickable.com/sets/70101-1/target-practice-speedorz-2013,http://brickset.com/sets/70101-1,http://www.brickpicker.com/bpms/set.cfm?set=70101-1
70106-1,ice-tower-speedorz-2013,http://rebrickable.com/sets/70106-1/ice-tower-speedorz-2013,http://brickset.com/sets/70106-1,http://www.brickpicker.com/bpms/set.cfm?set=70106-1
70500-1,kais-fire-mech-ninjago-2013,http://rebrickable.com/sets/70500-1/kais-fire-mech-ninjago-2013,http://brickset.com/sets/70500-1,http://www.brickpicker.com/bpms/set.cfm?set=70500-1
